Value,Label,Description
kcal/d,kilocalorie per day,Rate of energy expenditure per unit time
kcal/h,kilocalorie per hour,Rate of energy expenditure per unit time
kcal/kg/(24.h),kilocalorie per kilogram per 24 hour,Rate of energy expenditure per unit mass per unit time
kg.m/s,kilogram metre per second,Measurement of momentum
kg/(s.m2),kilogram per second per square metre,Rate of mass flow per unit area
kg/L,kilogram per litre,Unit of density
kg/h,kilogram per hour,Rate of mass transfer over a specific time period 
kg/m2,kilogram per square metre,Unit of surface density
kg/m3,kilogram per cubic metre,Unit of density
kg/min,kilogram per minute,Rate of mass transfer over a specific time period 
kg/mol,kilogram per mole,Expresses the molar mass of a substance
kg/s,kilogram per second,Rate of mass transfer over a specific time period 
km,kilometre,Unit of length
ks,kilosecond,Unit of time
lm,lumen,SI unit for luminous flux
lm.m2,lumen square metre,Unit of measurment used to express the illumamincance or brightness level on a surface 
m,metre,Unit of length
m/s,metre per second,Expresses magnitude of velocity
m/s2,metre per square second,Expresses magnitude of accelertation
m2,square metre,Unit of area
m2/s,square metre per second,Rate of change in area relative to unit time
m3/s,cubic metre per second,Rate of change in volume relative to unit time
mA,milliampere,Unit of electrical current equal to 1/1000 of an ampere
mL/(10.h),millilitre per 10 hour,Measure of volume relative to time
mL/(12.h),millilitre per 12 hour,Measure of volume relative to time
mL/(2.h),millilitre per 2 hour,Measure of volume relative to time
mL/(24.h),millilitre per 24 hour,Measure of volume relative to time
mL/(4.h),millilitre per 4 hour,Measure of volume relative to time
mL/(5.h),millilitre per 5 hour,Measure of volume relative to time
mL/(6.h),millilitre per 6 hour,Measure of volume relative to time
mL/(72.h),millilitre per 72 hour,Measure of volume relative to time
mL/(8.h),millilitre per 8 hour,Measure of volume relative to time
mL/(8.h)/kg,millilitre per 8 hour per kilogram,Express the rate of fluid infusion
mL/[sin_i],millilitre per square inch (international),Volume relative to unit area
mL/cm[H2O],millilitre per centimetre of water,Unit of measurement used to express the volume flow rate of a liquid
mL/d,millilitre per day,Measure of volume relative to time
mL/dL,millilitre per decilitre,Ratio of millilitres to decilitres
mL/h,millilitre per hour,Measure of volume relative to time
mL/kg,millilitre per kilogram,Ratio of volume to mass
mL/kg/(8.h),millilitre per kilogram per 8 hour,Ratio of volume to mass relative to time
mL/kg/d,millilitre per kilogram per day,Ratio of volume to mass relative to time
mL/kg/h,millilitre per kilogram per hour,Ratio of volume to mass relative to time
mL/kg/min,millilitre per kilogram per minute,Ratio of volume to mass relative to time
mL/m2,millilitre per square metre,Ratio of volume to area
mL/mbar,millilitre per millibar,Ratio of volume to pressure
mL/min,millilitre per minute,Rate of volmue relative to time
mL/min/m2,millilitre per minute per square metre,Rate of volume relative to time per unit area
mL/min/{1.73_m2},millilitre per minute per 1.73 square metre,Unit of measure used in medical contexts to express a rate of filtration by the kidneys
mL/mm,millilitre per millimetre,Volume to length ratio
mL/s,millilitre per second,Expresses flow rate
mL/{beat},millilitre per heart beat,Unit of volume relative to heart beat
mL/{beat}/m2,millilitre per heart beat per  square metre,Stroke volume index 
mL{fetal_RBCs},millilitre of fetal red blood cells,Volume of fetal red blood cells
mPa,millipascal,Unit of pressure
mPa.s,millipascal second,Unit of dynamic viscosity
mU/L,milli enzyme unit per litre,Concentration of an enzyme in a solution 
mU/g,milli  enzyme unit per gram,Concentration of an enzyme in a solution or substance
mU/g{Hb},milli enzyme unit per gram of hemoglobin,Concentration of an enzyme in relation to the amount of hemoglobin present in a sample
mU/g{prot},milli enzyme unit per gram of protein,Concentration of an enzyme in relation to the amount of protein present in a sample
mU/mL,milli  enzyme unit per millilitre,Concentration of an enzyme in solution
mU/mL/min,milli  enzyme unit per millilitre per minute,Concentration of an enzyme in solution relative to the time 
mU/mg,milli enzyme unit per milligram,Concentration of an enzyme in solution
mU/mg{creat},milli enzyme unit per milligram of creatinine,Concentration of an enzyme relative to the amount of creatine in a sample
mU/mmol{RBCs},milli  enzyme unit per millimole of red blood cells,Concentration of an enzyme relative to the amount of red blood cells in a sample
mU/mmol{creat},milli  enzyme unit per millimole of creatinine,Concentration of an enzyme relative to the amount of creatinine in a sample
mV,millivolt,Unit of electrical potential difference
m[iU]/L,milli-international unit per litre,Concentration of biologically active compounds in a liquid sample
m[iU]/mL,milli -international unit per millilitre,Concentration of biologically active compounds in a liquid sample
mbar,millibar,Unit of pressure
mbar.s/L,millibar second per litre,Unit of viscosity
mbar/L/s,millibar per litre per second,Rate of change of a pressure drop 
meq/(2.h),milliequivalent per 2 hour,Concentration of ions in solution over time period
meq/(24.h),milliequivalent per 24 hour,Concentration of ions in solution over time period
meq/(8.h),milliequivalent per 8 hour,Concentration of ions in solution over time period
meq/L,milliequivalent per litre,Concentration of ions in solution 
meq/d,milliequivalent per day,Concentration of ions in solution over time period
meq/dL,milliequivalent per decilitre,Concentration of ions in solution 
meq/g,milliequivalent per gram,Concentration of ions relative to mass
meq/g{creat},milliequivalent per gram of creatinine,Concentration of ions relative to the mass of creatinine
meq/h,milliequivalent per hour,Concentration of ions in solution over time period
meq/kg,milliequivalent per kilogram,Concentration of ions relative to mass
meq/kg/h,milliequivalent per kilogram per hour,"Rate of administration, consumption, or change in concentration of ions in relation to a person's body weight over a one hour period"
meq/m2,milliequivalent per square metre,Concentration of ions in a specific area
meq/mL,milliequivalent per millilitre,Concentration of ions within a millitre
meq/min,milliequivalent per minute,Rate of change in concentration of ions in a solution over a one-minute period
meq/{specimen},milliequivalent per specimen,Concentration or quantity of ions in a single test specimen
meq/{total_volume},milliequivalent per total volume,Concentration of ions in solution relative to the total volume of a sample
mg/(10.h),milligram per 10 hour,Rate of change of a substance's mass
mg/(12.h),milligram per 12 hour,Rate of change of a substance's mass
mg/(2.h),milligram per 2 hour,Rate of change of a substance's mass
mg/(24.h),milligram per 24 hour,Rate of change of a substance's mass
mg/(6.h),milligram per 6 hour,Rate of change of a substance's mass
mg/(72.h),milligram per 72 hour,Rate of change of a substance's mass
mg/(8.h),milligram per 8 hour,Rate of change of a substance's mass
mg/L,milligram per litre,Unit of concentration
mg/L{RBCs},milligram per litre of red blood cells,Concentration of a substance in a sample of red blood cells
mg/d,milligram per day,Rate of change of a substance's mass
mg/d/{1.73_m2},milligram per day per 1.73 square metre,Rate of substance accumulation in a specified area over the course of a day
mg/dL,milligram per decilitre,Unit of concentration
mg/dL{RBCs},milligram per decilitre of red blood cells,Concentration of a substance in a sample of red blood cells
mg/g,milligram per gram,Ratio of milligram to gram
mg/g{creat},milligram per gram of creatinine,Ratio of milligrams of one substance relative to the mass of creatinine
mg/g{dry_tissue},milligram per gram of dry tissue,Ratio of milligrams of one substance relative to the mass of dry tissue
mg/g{feces},milligram per gram of feces,Ratio of milligrams of one substance relative to the mass of fecal matter
mg/g{tissue},milligram per gram of tissue,Ratio of milligrams of one substance relative to the mass of tissue
mg/g{wet_tissue},milligram per gram of wet tissue,Ratio of milligrams of one substance relative to the mass of wet tissue
mg/h,milligram per hour,Rate of change of a substance's mass
mg/kg/(8.h),milligram per kilogram per 8 hour,Ratio of masses rate of change
mg/kg/d,milligram per kilogram per day,Ratio of masses rate of change
mg/kg/h,milligram per kilogram per hour,Ratio of masses rate of change
mg/kg/min,milligram per kilogram per minute,Ratio of masses rate of change
mg/m3,milligram per cubic metre,Concentration of a substance in particulate media
mg/mL,milligram per millilitre,Concentration of a substance in a liquid solution
mg/mg,milligram per milligram,Ratio of masses 
mg/mg{creat},milligram per milligram of creatinine,concentration or quantity of a substance relative to the amount of creatinine present in a sample
mg/min,milligram per minute,Rate of change of a substance's mass
mg/mmol,milligram per millimole,Molar mass
mg/mmol{creat},milligram per millimole of creatinine,Concentration of mass relative to the amount of creatinine in the sample
mg/wk,milligram per week,Rate of change of a substance's mass 
mg/{collection},milligram per collection,Measurement of mass
mg/{specimen},milligram per specimen,Measurement of mass
mg/{total_output},milligram per total output,Measurement of mass
mg/{total_volume},milligram per total volume,Measurement of mass
mg{FEU}/L,milligram fibrinogen equivalent unit per litre,Concentration of fibrinogen in a liquid sample
min,minute,Unit of time
mm,millimetre,Unit of volume
mm/h,millimetre per hour,Rate of change in volume
mm/min,millimetre per minute,Rate of change in volume
mm2,square millimetre,Unit of area
mm[H2O],millimetre of water,Volume of water
mm[Hg],millimetre of mercury,Height of a column of mercury supported by a specific pressure
mmol/(12.h),millimole per 12 hour,Rate of change of a substance over a time period
mmol/(2.h),millimole per 2 hour,Rate of change of a substance over a time period
mmol/(24.h),millimole per 24 hour,Rate of change of a substance over a time period
mmol/(5.h),millimole per 5 hour,Rate of change of a substance over a time period
mmol/(6.h),millimole per 6 hour,Rate of change of a substance over a time period
mmol/(8.h),millimole per 8 hour,Rate of change of a substance over a time period
mmol/L,millimole per litre,Unit of concentration
mmol/L{RBCs},millimole per litre of red blood cells,Unit of concentration
mmol/d,millimole per day,Rate of concentration
mmol/dL,millimole per decilitre,Concentration of various substances in a liquid
mmol/g,millimole per gram,Unit of concentration 
mmol/g{creat},millimole per gram of creatinine,Unit of concentration of mole of a substance relative to the amount of creatinine
mmol/h,millimole per hour,Rate of concentration
mmol/h/mg{Hb},millimole per hour per milligram of hemoglobin,Unit of measurement that expresses the rate at which a substance is either consumed or produced per unit of hemoglobin mass
mmol/h/mg{prot},millimole per hour per milligram of protein,Rate at which a substance is either consumed or produce per unit of protein mass
mmol/kg,millimole per kilogram,Unit of concentration
mmol/kg/(8.h),millimole per kilogram per 8 hour,Rate of change in concentration of a substance 
mmol/kg/d,millimole per kilogram per day,Rate of change in concentration of a substance 
mmol/kg/h,millimole per kilogram per hour,Rate of change in concentration of a substance 
mmol/kg/min,millimole per kilogram per minute,Rate of change in concentration of a substance 
mmol/m2,millimole per square metre,Concentration of a substance in a certain area
mmol/min,millimole per minute,Rate of change in concentration of a substance 
mmol/mmol,millimole per millimole,Ratio of concentrations
mmol/mmol{creat},millimole per millmole of creatinine,Ratio of one substance to the amount of creatinine in the sample
mmol/mmol{urea},millimole per millimole of urea,Ratio of one substance to the amount of urea in a sample
mmol/mol,millimole per mole,Ratio of the amount of one substance to the total amount of the entire mixture
mmol/mol{creat},millimole per mole of creatinine,Ratio of one substance to the amount of creatinine in the sample
mmol/s/L,millimole per second per litre,"Rate of change in the concentration of a substance in a liquid over time, relative to the volume of the liquid"
mmol/{ejaculate},millimole per ejaculate,Concentration of substance in male's ejaculate
mmol/{specimen},millimole per specimen,Concentration of substance per some specimen
mmol/{total_vol},millimole per total volume,Unit of concentration
mo,month,Unit of time
mol/L,mole per litre,Molarity
mol/kg,mole per kilogram,Molar mass
mol/kg/s,mole per kilogram per second,Rate of change in molar mass
mol/m3,mole per cubic metre,Unit of concentration
mol/mL,mole per millilitre,Unit of concentration
mol/mol,mole per mole,Ratio of moles
mol/s,mole per second,Rate of change in moles
mosm,milliosmole,Expresses the osmolarity of solution
mosm/L,milliosmole per litre,Expresses the osmolarity of solution relative to it's volume
mosm/kg,milliosmole per kilogram,Osmolarity of solution relative to it's mass
ms,millisecond,Unit of time
nL,nanolitre,Unit of volume
nU/mL,nanoenzyme unit per millilitre,Activity of nanoenzyme in solution
nU/{RBC},nanoenzyme unit per red blood cell,Activity of nanoenzyme relative to the red blood cells
ng/(24.h),nanogram per 24 hour,Rate at which a substance is either produced or excreted from a system
ng/(8.h),nanogram per 8 hour,Rate at which a substance is either produced or excreted from a system
ng/10*6,nanogram per million,Rate at which a substance is either produced or excreted from a system
ng/10*6{RBCs},nanogram per million red blood cells,Concentration or quantity of a substance in terms of nanograms per million red blood cells 
ng/L,nanogram per litre,Concentration of a substance in a liquid solution
ng/U,nanogram per enzyme unit,Amount of substance in nanograms per enzyme unit
ng/d,nanogram per day,Rate at which a substance is either produced or excreted from a system
ng/dL,nanogram per decilitre,Concentration of a substance in a liquid solution
ng/g,nanogram per gram,Amount of dissolved substance in the liquid relative to the mass of the liquid
ng/g{creat},nanogram per gram of creatinine,Concentration or quantity of a substance relative to the amount of creatinine in a sample
ng/h,nanogram per hour,"Rate of production, comsuption, or administration over a time period"
ng/kg,nanogram per kilogram,Concentration of a substance relative to the mass of the entire material
ng/kg/(8.h),nanogram per kilogram per 8 hour,Rate of change of the concentration of a substance relative to the mass of the entire material
ng/kg/h,nanogram per kilogram per hour,Rate of change of the concentration of a substance relative to the mass of the entire material
ng/kg/min,nanogram per kilogram per minute,Rate of change of the concentration of a substance relative to the mass of the entire material
ng/m2,nanogram per square metre,Concentration of a substance in a certain area
ng/mL,nanogram per millliiter,Concentration of a substance in a liquid solution
ng/mL/h,nanogram per millilitre per hour,Rate of change in concentration of a substance 
ng/mL{RBCs},nanogram per millilitre of red blood cells,Express the concentration or quantity of a substance within red blood cells in a liquid sample
ng/mg,nanogram per milligram,Concentration of a substance in a material relative to the mass of that material
ng/mg/h,nanogram per milligram per hour,"Rate of production, comsuption, or administration over a time period"
ng/mg{creat},nanogram per milligram of creatinine,Concentration of a substance in a urine 
ng/mg{prot},nanogram per milligram of protein,Concentration of a substance in a protein sample
ng/min,nanogram per minute,Rate of change of a substance in a system 
ng/s,nanogram per second,Rate of change of a substance in a system 
ng{FEU}/mL,nanogram fibrinogen equivalent unit per millilitre,Concentration of fibrinogen in a blood sample
nkat,nanokatal,Unit for enzymatic activity
nm,nanometre,Unit of length
nm/s/L,nanometre per second per litre,Velocity of particles through a fluid
nmol,nanomole,Quantity of a substance 
nmol/(24.h),nanomole per 24 hour,Rate of change of the quantity of the substance
nmol/L,nanomole per litre,Molarity
nmol/L/mmol{creat},nanomole per litre per millimole of creatinine,Concentration of a specific substance in urine adjusted for the concentration of the creatinine in the sample
nmol/L{RBCs},nanomole per litre of red blood cells,Concentration of a specific substance within red blood cells
nmol/d,nanomole per day,Rate of change of a substance in a system 
nmol/dL,nanomole per decilitre,Molarity
nmol/dL{GF},nanomole per decilitre of glomerular filtrate,Concentration of a particular substance in nanomoles per deciliter of the glomerular filtrate
nmol/g,nanomole per gram,"Concentration of a substance in a sample, typically on a mass basis"
nmol/g{creat},nanomole per gram of creatinine,"Concentration of a specific substance in urine or other biological samples, normalized for the concentration of creatinine in the same sample"
nmol/g{dry_wt},nanomole per gram of dry weight,Concentration of a substance in a sample normalized for the dry weight of the sample
nmol/h/L,nanomole per hour per litre,Rate of change of a substance in a system 
nmol/h/mg{prot},nanomole per hour per milligram of protein,Rate of change of an enzymatic reaction 
nmol/m/mg{prot},nanomole per metre per milligram of protein,"Rate of change of a substance within a biological system, normalized by both the amount of protein in that system and the distance over which it occurs"
nmol/mL,nanomole per millilitre,Molarity
nmol/mL/h,nanomole per millilitre per hour,Rate of change in molarity
nmol/mL/min,nanomole per millilitre per minute,Rate of change in molarity
nmol/mg,nanomole per milligram,Concentration of a substance in a sample
nmol/mg/h,nanomole per milligram per hour,Rate of change in concentration of a substance in a sample 
nmol/mg{creat},nanomole per milligram of creatinine,Concentration of a substance in a sample normalized for the concentration of creatinine in the sample
nmol/mg{prot},nanomole per milligram of protein,Concentration of a substance in a sample normalized for the amount of protein in the sample
nmol/mg{prot}/h,nanomole per milligram of protein per hour,"Rate of change of a substance within a biological system, normalized by mass of protein and time"
nmol/min,nanomole per minute,Rate of change of a substance in a system 
nmol/min/10*6{cells},nanomole per minute per million cells,Rate of change of a process normalized by the number of cells involved
nmol/min/mL,nanomole per minute per millilitre,"Rate of change of a process in a liquid solution over the course of one minute, normalized by the volume of the liquid"
nmol/min/mg{Hb},nanomole per minute per milligram of hemoglobin,Rate of change of a process normailzed by the amount of hemoglobin in the sample
nmol/min/mg{prot},nanomole per minute per milligram of protein,Rate of change of a process normalized by the amount of protein in a biological sample
nmol/mmol,nanomole per millimole,Ratio of quantities
nmol/mmol{creat},nanomole per millimole of creatinine,Concentration of a specific substance in urine
nmol/mol,nanomole per mole,Represents very small ratio or proportion of two quantities
nmol/nmol,nanomole per nanomole,Ratio of quantities
nmol/s,nanomole per second,Rate of change of quantity
nmol/s/L,nanomole per second per litre,Rate of change of quantity normalized by the volume of the system
nmol/umol{creat},nanomole per micromole  of creatinine,Ratio of one quantity to another quantity of creatinine
nmol{ATP},nanomole of ATP,One billionth of a mole of ATP
nmol{BCE},nanomole bone collagen equivalent,One billionth of a mole of bone collagen equivalent
nmol{BCE}/L,nanomole bone collagen equivalent per litre,One billionth of a mole of bone collagen equivalent relative to volume
ns,nanosecond,Unit of time
osm,osmole,Quantifies the number of particles that contribute to the osmotic pressure in a solution
osm/L,osmole per litre,Osmotically active particles in one litre of solution
osm/kg,osmole per kilogram,Osmotically active particles in one kilogram of substance
pA,picoampere,One trillionth of an ampere
pL,picolitre,One trillionth of a litre
pT,picotesla,One trillionth of a tesla
pg/L,picogram per litre,Concentration of a substance in a liquid
pg/dL,picogram per decilitre,Concentration of a substance in a liquid 
pg/mL,picogram per millilitre,Concentration of a substance in a liquid 
pg/mg,picogram per milligram,Concentration of a substance in a sample 
pg/mg{creat},picogram per milligram of creatinine,Concentration of a substance in a sample normalized for the concentration of creatinine in the sample
pg/mm,picogram per millimetre,Linear density
pg/{RBC},picogram per red blood cell,Concentration of a specific substance in each individual red blood cell
pg/{cells},picogram per cell,Mass of substance in each cell
pkat,picokatal,Unit of measurement for catalytic activity
pm,picometre,Unit of length
pmol,picomole,Unit of concentration
pmol/(24.h),picomole per 24 hour,Rate of change in concentration of a substance 
pmol/L,picomole per litre,Molarity
pmol/d,picomole per day,Rate of change of a substance in a system 
pmol/dL,picomole per decilitre,Molarity
pmol/g,picomole per gram,Concentration of a substance in a sample relative to the mass of the sample
pmol/h/mL,picomole per hour per millilitre,Rate of change of a substance in a liquid solution over the course of an hour
pmol/h/mg{prot},picomole per hour per milligram of protein,Rate of change of a process normailzed by the amount of protein in a sample
pmol/mL,picomole per millilitre,Molarity
pmol/mg{prot},picomole per milligram of protein,Rate of change of a substance in a sample of protein
pmol/min,picomole per minute,Rate of change of a substance in a system 
pmol/min/mg{prot},picomole per minute per milligram of protein,Rate of change of a biochemical process typically an enzymatic reaction normalized by the amount of protein in a biological sample
pmol/mmol{creat},picomole per millimole of creatinine,Concentration of a specific substance in a biological sample normalized by the amount of creatinine in the sample
pmol/umol,picomole per micromole,Ratio of concentrations
pmol/umol{creat},picomole per micromole of creatinine,Ratio of concentrations
pmol/{RBC},picomole per red blood cell,Concentration of substance within individual red blood cells
ps,picosecond,Unit of time
s,second,Unit of time
s/{control},second per control,Unit of time 
t,metric ton,Unit of mass
uL/(2.h),microlitre per 2 hour,Rate of fluid flow
uL/h,microlitre per hour,Rate of fluid flow
uOhm,microOhm,Unit of electrical resistance
uU/L,micro enzyme unit per litre,Concentration of an enzyme in a solution 
uU/g,micro enzyme unit per gram,Concentration of an enzyme in a sample
uU/mL,micro enzyme unit per millilitre,Concentration of an enzyme in a solution 
uV,microvolt,Unit of electrical potential difference
u[iU],micro international unit,Potency of biological substances
u[iU]/L,micro international unit per litre,Concentration of biological sustance in a liquid
u[iU]/mL,micro international unit per millilitre,Concentration of biological sustance in a liquid
ueq,microequivalent,Quantity of an ion group in solution or chemical reaction
ueq/L,microequivalent per litre,Quantity of an ion group in solution or chemical reaction
ueq/mL,microequivalent per millilitre,Quantity of an ion group in solution or chemical reaction
ug/(100.g),microgram per 100 gram,Concentration of a substance in a sample
ug/(24.h),microgram per 24 hour,Rate of change of mass
ug/(8.h),microgram per 8 hour,Rate of change of mass
ug/L,microgram per litre,Measure of density
ug/L/(24.h),microgram per litre per 24 hour,Rate of change of a substance in a liquid solution
ug/L{RBCs},microgram per litre of red blood cells,Mass of substance relative to one litre of red blood cells
ug/[sft_i],microgram per square foot (international),Mass relative to area
ug/d,microgram per day,Rate of change of mass
ug/dL,microgram per decilitre,Measure of density
ug/dL{RBCs},microgram per decilitre of red blood cells,Mass of substance relative to volume of red blood cells
ug/g,microgram per gram,Concentration of a substance in a sample 
ug/g{Hb},microgram per gram of hemoglobin,Concentration of a substance in a sample relative to the mass of hemoglobin
ug/g{creat},microgram per gram of creatinine,Concentration of a substance in a sample relative to the amount of creatinine
ug/g{dry_tissue},microgram per gram of dry tissue,Concentration of a substance in a sample relative to the amount of dry tissue
ug/g{dry_wt},microgram per gram of dry weight,Concentration of a substance in a sample relative to the amount of dry weight
ug/g{feces},microgram  per gram of feces,Concentration of a substance in a sample relative to the mass of feces
ug/g{hair},microgram per gram of hair,Concentration of a substance in a sample relative to the mass of hair
ug/g{tissue},microgram per gram of tissue,Concentration of a substance in a sample relative to the mass of tissue
ug/h,microgram per hour,Rate of change of mass
ug/kg/(8.h),microgram per kilogram per 8 hour,Rate of change of mass
ug/kg/d,microgram per kilogram per day,Rate of change of mass
ug/kg/h,microgram per kilogram per hour,Rate of change of mass
ug/kg/min,microgram per kilogram per minute,Rate of change 
ug/m3,microgram per cubic metre,Concentration of a substance in the air
ug/mL,microgram per millilitre,Concentration of a substance in a liquid solution
ug/mL{class},microgram per millilitre class,
ug/mL{eqv},microgram per millilitre equivalent,
ug/mg,microgram per milligram,Ratio of masses
ug/mg{creat},microgram per milligram of creatinine,Ratio of mass relative to the mass of creatinine within the sample
ug/min,microgram per minute,Rate of change of mass
ug/mmol,microgram per millimole,Molar mass
ug/mmol{creat},microgram per millimole of creatinine,Ratio of mass to mircomoles of creatinine
ug/ng,microgram per nanogram,Ratio of masses
ug/{specimen},microgram per specimen,Mass of a substance per specimen
ug{FEU}/mL,microgram fibrinogen equivalent unit per millilitre,Fibrinogen concentrations in the blood
ukat,microkatal,Unit of enzymatic activity
um,micrometre,Unit of length
um/s,microns per second,Speed
umol/(2.h),micromole per 2 hour,Rate of change of micromoles
umol/(24.h),micromole per 24 hour,Rate of change of micromoles
umol/(8.h),micromole per 8 hour,Rate of change of micromoles
umol/L,micromole per litre,Molarity
umol/L/h,micromole per litre per hour,Rate of change of molarity
umol/L{RBCs},micromole per litre of red blood cells,Concentration of a substance relative to the amount of red blood cells in the sample
umol/d,micromole per day,Rate of change of micromoles
umol/dL,micromole per decilitre,Molarity
umol/dL{GF},micromole per decilitre of glomerular filtrate,Concentration of a specific substance in the glomerular filtrate
umol/g,micromole per gram,Moles relative to the mass of the sample
umol/g{Hb},micromole per gram of hemoglobin,Concentration of moles relative to the amount of hemoglobin in the sample
umol/g{creat},micromole per gram of creatinine,Concentration of a substance in urine
umol/h,micromole per hour,Rate of change in the concentration of a substance 
umol/kg,micromole per kilogram,Concentration of moles relative to the mass of the sample
umol/kg{feces},micromole per kilogram of feces,Concentration of moles relative to the mass of the fecal sample
umol/mL,micromole per millilitre,Molarity
umol/mL/min,micromole per millilitre per minute,Rate of change of molarity
umol/mg,micromole per milligram,Ratio of two different mass quantities
umol/mg{creat},micromole per milligram of creatinine,Concentration of a substance in urine while normalizing for variations in urine dilution based on creatinine levels
umol/min,micromole per minute,Rate of change of micromoles
umol/min/L,micromole per minute per litre,Rate of change of micromoles relative to volume
umol/min/g,micromole per minute per gram,Rate of change of micromoles relative to mass
umol/min/g{mucosa},micromole per minute per gram of mucosa,"Rate of a metabolic or enzymatic process involving a substance in a specific type of tissue, often mucosal tissue"
umol/min/g{prot},micromole per minute per gram of protein,Express the rate of a metabolic or enzymatic process normalized by the amount of protein in a tissue or solution
umol/mmol,micromole per millimole,Relationship between two quantities of a substance interms of molar ratios
umol/mmol{creat},micromole per millimole of creatinine,Concentration of a specific substance in urine normalized by dilution based on creatine levels
umol/mol,micromole per mole,Relationship between two quantities of a substance interms of molar ratios
umol/mol{Hb},micromole per mole of hemoglobin,Ratio of a substance to hemoglobin based on molar ratios
umol/mol{creat},micromole per mole of creatinine,Ratio of a substance to hemoglobin based on molar ratios
umol/umol,micromole per micromole,Molar ratios of two substances
umol/umol{creat},micromole per micromole of creatinine,Molar ratio of a substance and creatinine in the sample
umol{BCE}/mol,micromole bone collagen equivalent per mole,Molar ratio of bone collagen and a substance
us,microsecond,Unit of time
wk,week,Unit of time
{#},number,Numeric unit
{#}/L,number per litre,Numeric unit relative to volume
{#}/[HPF],number per high power field,Count of specific objects in a sample observed under a microscope at high magnification
{#}/[LPF],number per low power field,Count of specific objects in a sample observed under a microscope at low magnification
{#}/mL,number per millilitre,Count of specific objects in a sample in a liquid
{#}/min,number per minute,Rate of change  of specific objects in a sample 
{#}/uL,number per microlitre,Count of specific objects relative to one microlitre
{#}/{platelet},molecule per platelet,Concentration of specific molecules or substances within platelets
{AHF'U},American Hospital Formulary unit,Used for the standardization of reporting the strength of a medication
{APS'U},IgA antiphosphatidylserine unit,Unit in the context of laboratory testing for antiphospholipid antibodies
{ARU},aspirin response unit,Measures how well aspirin affects the platelet activity in a patient's blood
{CAE'U},complement activity enzyme unit,Quantifies the enzymatic activity of complement proteins
{CAG_repeats},CAG trinucleotide repeats,Type of repetitive DNA sequence 
{CH100'U},complement CH100 unit,Historical unit of measurement used to quantify the hemolytic activity of the complement system in the blood
{CPM},counts per minute,Count of specific object relative to one minute
{CPM}/10*3{cells},counts per minute per thousand cells,Count of specific object relative to one minute relative to 1 thousand cells
{EIA'U},EIA unit,"Concentration of substances such as antigens, or antibodies in a given sample"
{EIA'U}/U,EIA unit per enzyme unit,"Concentration of substances such as antigens, or antibodies in a given sample relative to the activity of enzymes"
{EIA_index},EIA index,"Quantifies the results of immunoassays, particularly when measuring antibodies"
{EIA_titer},EIA titer,Concentration of antibodies in a patients blood
{ELISA'U},ELISA unit,"Detects specific proteins, or antibodies in biological samples"
{EV},EIA value,Numerical result obtained from an Enzyme Immunoassay
[ELU],ELISA unit,Quantifies the concentration of a specific analyte in a biological sample
{Ehrlich'U},Ehrlich unit,Concentration of a particular substance in a sample
[EU],Ehrlich unit,Concentration of a particular substance in a sample
{Ehrlich'U}/(2.h),Ehrlich unit per 2 hour,Rate of change of the concentration of a particular substance over a two hour period
{Ehrlich'U}/100.g,Ehrlich unit per 100 gram,Concentration of a particular substance in a sample relative to mass
{Ehrlich'U}/d,Ehrlich unit per day,Rate of change of the concentration of a particular substance over a one day period
{Ehrlich'U}/dL,Ehrlich unit per decilitre,Enzyme activity per deciliter of a solution
{FIU},fluorescent intensity unit,Fluorescent intensity in a fluorescence-based experiment
[FFU],focus forming units,Quantifies the infectious titer of a virus 
{GAA_repeats},GAA trinucleotide repeats,Type of repetitive DNA sequence 
{GPS'U},IgG antiphosphatidylserine unit,Measures the amount of IgG antibodies in a sample
{Globules}/[HPF],globules (drops)  per high power field,Quantifies the amount of drops in a sample under high power microscope
{HA_titer},influenza hemagglutination titer,Measure the ability of the influenza viruses to agglutinate red blood cells
{IFA_index},immunofluorescence assay index,Laboratory technique used to detect and quantify specific antibodies or antigens in a biological sample
{IFA_titer},Immunofluorescence assay titer,Represents the highest dilution of a patient's serum that still produces a specific fluorescent signal in an experiment
{INR},international normalized ratio,A standardized measurement used to evaluate the clotting tendency of a patient's blood and to monitor the effects of anticoagulant medications
{ISR},immune status ratio,Assesses immune status 
{ImmuneComplex'U},immune complex unit,Quantifies the amount of immune complexes in a biological sample
{KCT'U},kaolin clotting time,Assesses the intrinsic coagulation pathway of the blood clotting process
{KRONU'U}/mL,Kronus unit per millilitre,Used in the context of laboratory tests or immunoassays
{Log_IU},log (base 10) international unit,Refers to logarithimic scale used to express the international unit on a base 10 scale
{Log_IU}/mL,log (base 10) international unit per millilitre,Refers to logarithimic scale used to express measurement on a base 10 scale relative to volume
{Log_copies}/mL,log (base 10) copies per millilitre,Refers to logarithimic scale used to express measurement on a base 10 scale relative to volume
{Log},log (base 10),Refers to logarithimic scale used to express measurement on a base 10 scale
{Lyme_index_value},Lyme index value,Quantifies Lyme disease
{M.o.M},multiple of the median,A statistical concept often used in medical screening and diagnostic tests 
{MPS'U},IgM antiphosphatidylserine unit,Measurement used for antiphospholipid antibodies 
{MPS'U}/mL,IgM antiphosphatidylserine unit per millilitre,Measurement used for antiphospholipid antibodies relative to volume
